SIF_UUID,MANIFEST_ID,PROGRAM_CODE,QUANTITY
dbfcc0e8-24a7-4b86-b52e-21fdfc99906a,I_13aaaaaa-aaaa-4aaa-a48a-978054467359,SS_NL18E_HS_WH,0
3bb3c99d-729f-4957-b705-e37c7b8bd909,I_13aaaaaa-aaaa-4aaa-a3ea-978054488223,SCI_NA18E_SCIDIM_MODA,0
7cb66e72-f968-4438-b069-c0ae618becc5,I_13aaaaaa-aaaa-4aaa-a42a-978054488241,SCI_NA18E_SCIDIM_MODF,0
786e4fe9-9228-4619-9b5f-53d3028021bf,I_13aaaaaa-aaaa-4aaa-a40a-978054488242,SCI_NA18E_SCIDIM_MODG,0
abd0ec67-beb8-4c6b-9203-145268b34ff0,I_13aaaaaa-aaaa-4aaa-a4aa-978054488237,SCI_NA18E_SCIDIM_MODB,0
2e10bf15-0721-4ed5-9116-feefa094ee73,I_13aaaaaa-aaaa-4aaa-a42a-978132893152,SCI_GA19E_GASCI_G3,0
2e10bf15-0721-4ed5-9116-feefa094ee73,I_13aaaaaa-aaaa-4aaa-a3ea-978132893154,SCI_GA19E_GASCI_G5,0
7ffef789-08e3-4a42-bf17-4c4758c2a689,I_13aaaaaa-aaaa-4aaa-a46a-978054467375,SS_NL18E_USH1877,0
15f0cc6d-217e-47a1-b11b-0b6b7df71095,I_13aaaaaa-aaaa-4aaa-a46a-978054488224,SCI_NA18E_SCIDIM_MODB,0
15f0cc6d-217e-47a1-b11b-0b6b7df71095,I_13aaaaaa-aaaa-4aaa-a3ea-978054488233,SCI_NA18E_SCIDIM_MODJ,0
15f0cc6d-217e-47a1-b11b-0b6b7df71095,I_13aaaaaa-aaaa-4aaa-a44a-978054488245,SCI_NA18E_SCIDIM_MODJ,0
c540150f-9865-4da5-ba7b-64d165fa7ed0,I_13aaaaaa-aaaa-4aaa-a42a-978054488241,SCI_NA18E_SCIDIM_MODF,0
7fe648d8-f406-4bd7-ad6d-de050aa02623,I_13aaaaaa-aaaa-4aaa-a38a-978054470920,SCI_NA18E_SCIDIM_G05,0
7cb66e72-f968-4438-b069-c0ae618becc5,I_13aaaaaa-aaaa-4aaa-a40a-978054488227,SCI_NA18E_SCIDIM_MODD,0
7cb66e72-f968-4438-b069-c0ae618becc5,I_13aaaaaa-aaaa-4aaa-a3ea-978054488243,SCI_NA18E_SCIDIM_MODH,0
7cb66e72-f968-4438-b069-c0ae618becc5,I_13aaaaaa-aaaa-4aaa-a40a-978054488232,SCI_NA18E_SCIDIM_MODI,0
742132fa-643c-402d-8ad0-4231f041f435,I_13aaaaaa-aaaa-4aaa-a3ea-978054488223,SCI_NA18E_SCIDIM_MODA,0
742132fa-643c-402d-8ad0-4231f041f435,I_13aaaaaa-aaaa-4aaa-a4aa-978054488247,SCI_NA18E_SCIDIM_MODL,0
742132fa-643c-402d-8ad0-4231f041f435,I_13aaaaaa-aaaa-4aaa-a44a-978054470919,SCI_NA18E_SCIDIM_G04,0
786e4fe9-9228-4619-9b5f-53d3028021bf,I_13aaaaaa-aaaa-4aaa-a4aa-978054488247,SCI_NA18E_SCIDIM_MODL,0
abd0ec67-beb8-4c6b-9203-145268b34ff0,I_13aaaaaa-aaaa-4aaa-a3ea-978054488233,SCI_NA18E_SCIDIM_MODJ,0
